ROUND_HOLE_ID,TERRAIN_DESCR,ROUND_SHOT_ID,FAIRWAY_FLAG,FAIRWAY_RIGHT_FLAG,FAIRWAY_LEFT_FLAG,RCVR_SHOT_FLAG,STROKE_GAINED,START_TO_CG_DIST,END_TO_CG_DIST,START_TERRAIN_ID,END_TERRAIN_ID,SHOT_DIST,FAIRWAY_BOUNDS_DIST,PENALTY_CNT,IGNORE_FLAG,RCVR_REQUIRED_FLAG,FP_OR_MISSED_FLAG,LEFT_FLAG,RIGHT_FLAG,CENTER_LINE_DIST,SRC_KEY,DML_INS_DT,DML_INS_BATCH,DML_UPD_DT,DML_UPD_BATCH,DML
7176154,sand,33525853,F,F,T,,-0.199808002,387.9450073,149.8159943,1,4,244.8119965,5.795650005,0,F,,F,T,F,15.29170036,774095-18-1,5/4/2017 6:26:22  AM ,,5/5/2017 10:10:35  AM ,,U
6740707,rough,31546624,F,F,T,,-0.155052006,317.9129944,152.5509949,1,2,174.0410004,5.602890015,0,F,,F,T,F,19.79409981,722116-9-1,4/10/2017 6:18:42  AM ,,4/11/2017 6:58:44  AM ,,U
11336803,fairway,52154092,T,F,F,,-0.082792103,434.7810059,222.4230042,1,5,237.5540009,0.362969011,0,F,,F,F,T,21.35239983,1251463-1-1,11/16/2017 8:50:49  AM ,,11/17/2017 6:51:44  AM ,,U
8579267,fairway,39944062,T,F,F,T,-0.216686994,235.1679993,119.9520035,2,5,116.4440002,13.26430035,0,F,,F,F,T,2.598720074,947919-4-2,7/4/2017 8:22:34  AM ,,7/5/2017 5:42:58  AM ,,U
9037744,rough,41925735,F,F,T,,0.036785401,365.1659851,138.6710052,1,2,226.7929993,19.88439941,0,F,T,F,T,F,39.65299988,998989-8-1,7/22/2017 5:47:24  AM ,,8/3/2017 7:38:37  AM ,,U
8894391,rough,41219657,F,T,F,,-0.610432029,297.8800049,215.0720062,1,2,186.970993,3.596489906,0,F,T,F,F,T,22.12700081,983560-17-1,7/16/2017 5:35:09  AM ,,7/17/2017 5:37:49  AM ,,U
7997224,rough,37263526,F,T,F,T,-0.855567992,145.3320007,115.0970001,2,2,30.42200089,1.381600022,0,F,,F,F,T,16.42939949,880684-6-2,6/11/2017 7:13:32  AM ,,6/12/2017 5:24:08  AM ,,U
9932512,fairway,45938745,T,F,F,T,-0.294001997,198.7969971,63.30559921,2,5,135.4929962,1.150370002,0,F,,F,F,T,13.25899982,1096674-13-2,8/27/2017 5:30:45  AM ,,8/28/2017 5:39:26  AM ,,U
7394921,fairway,34451077,T,F,F,T,0.107989997,270.0700073,111.8679962,2,5,160.8639984,7.488259792,0,F,,F,F,T,6.612999916,798943-13-2,5/15/2017 6:14:14  AM ,,5/16/2017 5:21:51  AM ,,U
9639119,rough,44594360,F,F,T,T,-0.809696019,210.3789978,192.2550049,2,2,24.7397995,4.963300228,0,F,,F,T,F,21.7928009,1063490-11-2,8/14/2017 5:20:21  AM ,,8/20/2017 10:57:33  AM ,,U
6963843,sand,32583964,F,F,T,,-0.29469499,332.2120056,138.0859985,1,4,197.4880066,5.034150124,0,F,,F,T,F,19.50989914,751109-8-1,4/23/2017 3:46:03  AM ,,4/24/2017 3:49:09  AM ,,U
8014234,fairway,37259877,T,F,F,T,-0.723136008,159.8670044,129.3569946,2,5,33.95439911,0.511151016,0,F,,F,F,T,11.54409981,880684-2-2,6/11/2017 7:13:32  AM ,,6/12/2017 5:24:08  AM ,,U
7394922,rough,34501653,F,T,F,,-0.00866749,371.2550049,151.345993,1,2,221.3659973,21.90060043,0,F,,F,F,T,31.32620049,798943-18-1,5/15/2017 6:14:14  AM ,,5/16/2017 5:21:51  AM ,,U
7479944,rough,34894708,F,F,T,,-0.381305993,486.6409912,313.1220093,1,2,186.7400055,4.88285017,0,F,,F,T,F,24.48450089,811112-5-1,5/20/2017 5:30:13  AM ,,5/21/2017 6:24:49  AM ,,U
