ROUND_HOLE_ID,TERRAIN_DESCR,ROUND_SHOT_ID,FAIRWAY_FLAG,FAIRWAY_RIGHT_FLAG,FAIRWAY_LEFT_FLAG,RCVR_SHOT_FLAG,STROKE_GAINED,START_TO_CG_DIST,END_TO_CG_DIST,START_TERRAIN_ID,END_TERRAIN_ID,SHOT_DIST,FAIRWAY_BOUNDS_DIST,PENALTY_CNT,IGNORE_FLAG,RCVR_REQUIRED_FLAG,FP_OR_MISSED_FLAG,LEFT_FLAG,RIGHT_FLAG,CENTER_LINE_DIST,SRC_KEY,DML_INS_DT,DML_INS_BATCH,DML_UPD_DT,DML_UPD_BATCH,DML,Name,Date,Hole
7709073,rough,35700163,F,T,F,,-1.19611001,323.131012,168.9120026,1,2,178.1940002,26.70890045,1,F,,F,F,T,43.01250076,840055-10-1,5/29/2017 10:28,,5/30/2017 7:38,,U,SEBASTIAN ,"Apr. 25th, 2018",4
9638132,rough,44472863,F,F,T,T,-0.701228976,242.9600067,207.5700073,2,2,35.48450089,7.118289948,0,F,,F,T,F,22.38100052,1062047-2-2,8/14/2017 5:20,,8/20/2017 10:57,,U,CONNOR ,"Apr. 21th, 2018",5
6351242,rough,29796478,F,F,T,,-0.039390001,378.1520081,164.4660034,1,2,214.197998,9.245739937,0,F,T,F,T,F,22.9204998,673754-2-1,3/11/2017 6:03,,3/12/2017 5:34,,U,JAMIE ,"Apr. 24th, 2018",6
6947282,rough,32545187,F,F,T,T,-0.868674994,171.0440063,150.7630005,2,2,20.3220005,11.3828001,0,F,,F,T,F,30.08060074,751109-14-2,4/23/2017 3:46,,4/24/2017 3:49,,U,THEO ,"Apr. 25th, 2018",7
10941692,rough,50380237,F,F,T,T,-1.722149968,158.1790009,105.4729996,2,2,54.04029846,9.614819527,1,F,,F,T,F,23.10289955,1208992-18-2,10/16/2017 6:31,,10/17/2017 5:50,,U,TOBY ,"Apr. 21th, 2018",8
8145370,rough,37817634,F,F,T,T,-0.531868994,198.6119995,114.9789963,2,2,84.73100281,23.7784996,0,F,,F,T,F,40.97650146,896856-2-2,6/17/2017 10:59,,6/19/2017 10:10,,U,HARVEY ,"Apr. 24th, 2018",9
7470743,rough,34933532,F,F,T,,-2.03557992,290.5050049,96.04029846,1,2,205.3899994,0.278943986,2,F,,F,T,F,16.09840012,811112-16-1,5/20/2017 5:30,,5/21/2017 6:24,,U,MICHAEL ,"May. 25th, 2018",1
9524573,rough,44007781,F,F,T,,-0.330327988,355.0920105,196.8690033,1,2,158.2330017,5.640639782,0,F,T,F,T,F,20.73730087,1049865-2-1,8/10/2017 5:25,,8/20/2017 10:57,,U,NATHAN ,"Apr. 21th, 2018",2
8008527,rough,37307408,F,F,T,,-0.0419209,324.493988,128.9230042,1,2,204.0740051,30.84980011,0,F,T,F,T,F,44.39799881,880684-3-1,6/11/2017 7:13,,6/12/2017 5:24,,U,HARLEY ,"Apr. 24th, 2018",3
11017203,fairway,50703155,T,F,F,,-0.045351598,461.9330139,242.5890045,1,5,220.2969971,7.833610058,0,F,,F,T,F,8.246600151,1216368-18-1,10/21/2017 6:21,,10/22/2017 5:55,,U,KAI ,"Apr. 25th, 2018",8
10385190,rough,47884351,F,T,F,,-1.013640046,275.4159851,40.65990067,1,2,238.1340027,14.99919987,1,F,,F,F,T,28.3227005,1146081-13-1,9/16/2017 5:51,,9/17/2017 5:36,,U,DAVID ,"May. 21th, 2018",9
7440741,rough,34666114,F,F,T,,-0.130974993,381.2090149,178.8760071,1,2,211.8509979,7.064280033,0,F,T,F,T,F,23.86030006,806106-11-1,5/18/2017 9:04,,5/19/2017 8:14,,U,AARON ,"Apr. 24th, 2018",10
8145370,rough,37855681,F,F,T,,-0.288293988,370.1530151,198.6119995,1,2,173.4850006,26.45540047,0,F,T,F,T,F,41.16730118,896856-2-1,6/17/2017 10:59,,6/19/2017 10:10,,U,ALEX ,"Apr. 5th, 2018",11
6900209,fairway,32305693,T,F,F,T,-0.970607996,304.1010132,176.5050049,2,5,127.9120026,9.252070427,1,T,,F,T,F,20.8845005,744167-18-2,4/20/2017 3:24,,4/21/2017 3:33,,U,CHARLES ,"Apr. 21th, 2018",12
7081973,rough,33109213,F,F,T,T,-0.704955995,148.5500031,64.48059845,2,2,84.25659943,7.989409924,0,F,,F,T,F,17.17070007,763411-8-2,4/29/2017 3:29,,4/30/2017 3:36,,U,AIDEN ,"May. 24th, 2018",13
9037744,rough,41909930,F,F,T,T,-0.872493029,138.6710052,117.6689987,2,2,28.73419952,2.050709963,0,F,,F,T,F,21.7682991,998989-8-2,7/22/2017 5:47,,8/3/2017 7:38,,U,LEON ,"Apr. 25th, 2018",14
8144398,rough,37837314,F,T,F,,-0.076117203,359.1440125,161.352005,1,2,237.197998,42.62450027,0,F,T,F,F,T,64.14289856,895452-2-1,6/17/2017 10:59,,6/18/2017 9:26,,U,MOHAMMAD ,"Apr. 21th, 2018",9
